dataset,cell_id,cycle,capacity,target,rated_capacity,eol_threshold
CALCE,CS2_35,1.0,1.126384506847021,1.0239859153154736,1.1,0.8800000000000001
CALCE,CS2_35,2.0,1.1261598161259705,1.0237816510236095,1.1,0.8800000000000001
CALCE,CS2_35,3.0,1.125965708259707,1.0236051893270062,1.1,0.8800000000000001
CALCE,CS2_35,4.0,1.1185076863180938,1.0168251693800852,1.1,0.8800000000000001
CALCE,CS2_35,5.0,1.1172100749182547,1.0156455226529588,1.1,0.8800000000000001
CALCE,CS2_35,6.0,1.1137535513150443,1.012503228468222,1.1,0.8800000000000001
CALCE,CS2_35,7.0,1.0988181436744804,0.9989255851586184,1.1,0.8800000000000001
CALCE,CS2_35,8.0,1.0961803263765921,0.9965275694332655,1.1,0.8800000000000001
CALCE,CS2_35,9.0,1.0898711301696573,0.9907919365178702,1.1,0.8800000000000001
CALCE,CS2_35,10.0,1.0875822954661674,0.9887111776965157,1.1,0.8800000000000001
CALCE,CS2_35,11.0,1.0947478949707463,0.9952253590643148,1.1,0.8800000000000001
CALCE,CS2_35,12.0,1.0955682863426888,0.9959711694024442,1.1,0.8800000000000001
CALCE,CS2_35,13.0,1.0954329180709088,0.9958481073371898,1.1,0.8800000000000001
CALCE,CS2_35,14.0,1.095223222083344,0.9956574746212218,1.1,0.8800000000000001
CALCE,CS2_35,15.0,1.0948040555332583,0.9952764141211439,1.1,0.8800000000000001
CALCE,CS2_35,16.0,1.0944448817959302,0.9949498925417547,1.1,0.8800000000000001
CALCE,CS2_35,17.0,1.0940442107208557,0.9945856461098687,1.1,0.8800000000000001
CALCE,CS2_35,18.0,1.0934614215105336,0.9940558377368487,1.1,0.8800000000000001
CALCE,CS2_35,19.0,1.0927332194072785,0.9933938358247986,1.1,0.8800000000000001
CALCE,CS2_35,20.0,1.0888536787324268,0.9898669806658424,1.1,0.8800000000000001
CALCE,CS2_35,21.0,1.0883814134478704,0.989437648588973,1.1,0.8800000000000001
CALCE,CS2_35,22.0,1.0879949624513225,0.9890863295012022,1.1,0.8800000000000001
CALCE,CS2_35,23.0,1.0876290188457574,0.988753653496143,1.1,0.8800000000000001
CALCE,CS2_35,24.0,1.0872335492167664,0.9883941356516057,1.1,0.8800000000000001
CALCE,CS2_35,25.0,1.086799750378054,0.9879997730709581,1.1,0.8800000000000001
CALCE,CS2_35,26.0,1.0863976880895259,0.9876342618995689,1.1,0.8800000000000001
CALCE,CS2_35,27.0,1.0764608398671511,0.9786007635155919,1.1,0.8800000000000001
