dataset,cell_id,cycle,capacity,target,rated_capacity,eol_threshold
NASA,B0005,1.0,1.8564874208181574,0.9282437104090787,2.0,1.6
NASA,B0005,2.0,1.846327249719927,0.9231636248599635,2.0,1.6
NASA,B0005,3.0,1.8353491942234077,0.9176745971117038,2.0,1.6
NASA,B0005,4.0,1.8352625275821128,0.9176312637910564,2.0,1.6
NASA,B0005,5.0,1.8346455082120419,0.9173227541060209,2.0,1.6
NASA,B0005,6.0,1.8356616600675495,0.9178308300337747,2.0,1.6
NASA,B0005,7.0,1.8351461429226603,0.9175730714613302,2.0,1.6
NASA,B0005,8.0,1.8257567905665537,0.9128783952832769,2.0,1.6
NASA,B0005,9.0,1.8247738529891333,0.9123869264945667,2.0,1.6
NASA,B0005,10.0,1.824613268496936,0.912306634248468,2.0,1.6
NASA,B0005,11.0,1.8246195526864504,0.9123097763432252,2.0,1.6
NASA,B0005,12.0,1.8142019357673917,0.9071009678836959,2.0,1.6
NASA,B0005,13.0,1.8137521577549054,0.9068760788774527,2.0,1.6
NASA,B0005,14.0,1.8134404914735822,0.9067202457367911,2.0,1.6
NASA,B0005,15.0,1.8025980036306504,0.9012990018153252,2.0,1.6
NASA,B0005,16.0,1.80210690024615,0.901053450123075,2.0,1.6
NASA,B0005,17.0,1.802579500826209,0.9012897504131046,2.0,1.6
NASA,B0005,18.0,1.8030683142834096,0.9015341571417048,2.0,1.6
NASA,B0005,19.0,1.8027776247196041,0.9013888123598021,2.0,1.6
NASA,B0005,20.0,1.8470259949329193,0.9235129974664597,2.0,1.6
NASA,B0005,21.0,1.847417311283644,0.923708655641822,2.0,1.6
NASA,B0005,22.0,1.8361774213478947,0.9180887106739474,2.0,1.6
NASA,B0005,23.0,1.8257807475776242,0.9128903737888121,2.0,1.6
NASA,B0005,24.0,1.8251136435078368,0.9125568217539184,2.0,1.6
NASA,B0005,25.0,1.8255815042203762,0.9127907521101881,2.0,1.6
NASA,B0005,26.0,1.8140311275083907,0.9070155637541953,2.0,1.6
NASA,B0005,27.0,1.8147691941158939,0.9073845970579469,2.0,1.6
NASA,B0005,28.0,1.813969388710352,0.906984694355176,2.0,1.6
NASA,B0005,29.0,1.802765665167823,0.9013828325839115,2.0,1.6
