dataset,fold_id,test_cell,strategy,alpha,bias,RMSE,MAE,R2
NASA,test_B0005,B0005,fixed_zero,0.0,-0.002314222878531406,0.0067585053254860875,0.0033192659042370377,0.994344135715644
NASA,test_B0005,B0005,fixed_half,0.5,-0.0014289676753240354,0.006603309847554672,0.0032702273441729997,0.9946009044745101
NASA,test_B0005,B0005,fixed_one,1.0,-0.000543712472116667,0.006563707352987651,0.0033147369625619785,0.994665471028047
NASA,test_B0005,B0005,analytic,1.0022149127511986,-0.0005397909460413707,0.006563794452792149,0.0033151461658237954,0.9946653294496711
NASA,test_B0005,B0005,grid,1.05,-0.0004551869517959264,0.006566238124223459,0.003323974420371411,0.9946613565621075
NASA,test_B0006,B0006,fixed_zero,0.0,-0.0014022376976515118,0.011943368532055321,0.006496574588998715,0.9882995840193197
NASA,test_B0006,B0006,fixed_half,0.5,-0.00031819806610747383,0.011611489353261601,0.006334024149413368,0.9889408056005325
NASA,test_B0006,B0006,fixed_one,1.0,0.0007658415654365568,0.011468537111499207,0.006317825259293658,0.9892114349592063
NASA,test_B0006,B0006,analytic,0.9974519765316862,0.000760317248593052,0.011468770801977678,0.006317170665568225,0.9892109952848889
NASA,test_B0006,B0006,grid,0.9,0.0005490336391277529,0.011481540391122107,0.00629626059048376,0.9891869564652747
NASA,test_B0007,B0007,fixed_zero,0.0,-0.001854127337192667,0.006321597137207059,0.003137005176251308,0.9928628374623295
NASA,test_B0007,B0007,fixed_half,0.5,0.00014247687088426948,0.005989653029248473,0.003276898275533654,0.993592696645151
NASA,test_B0007,B0007,fixed_one,1.0,0.0021390810789612058,0.005967258226480678,0.0037359714483736054,0.9936405197979138
NASA,test_B0007,B0007,analytic,0.9678401513765943,0.0020106601007759896,0.0059590669375199435,0.0036916233494564453,0.9936579672031627
NASA,test_B0007,B0007,grid,0.55,0.00034213729169191873,0.005973049204638166,0.0032933857459924946,0.99362817058178
NASA,test_B0018,B0018,fixed_zero,0.0,-0.0015691695244688737,0.011749174720069467,0.006447953716226846,0.9668195021117612
NASA,test_B0018,B0018,fixed_half,0.5,-0.0010137837609506437,0.01155891813864663,0.006113418408728086,0.9678853975481323
NASA,test_B0018,B0018,fixed_one,1.0,-0.00045839799743241155,0.011700650383640189,0.0063915337619293786,0.9670930084450372
NASA,test_B0018,B0018,analytic,1.0029663979448498,-0.00045510300705741005,0.011702471848428871,0.0063937295685603255,0.9670827622467725
NASA,test_B0018,B0018,grid,1.2000000000000002,-0.00023624369202511925,0.01184856925736462,0.006569623224957549,0.9662557331327486
CALCE,test_CS2_35,CS2_35,fixed_zero,0.0,-0.0009359003247126289,0.010366922054021666,0.004336866506916796,0.9969711219340741
CALCE,test_CS2_35,CS2_35,fixed_half,0.5,-0.0007512972283676454,0.009446509516576862,0.004192542839799345,0.9974850760506212
CALCE,test_CS2_35,CS2_35,fixed_one,1.0,-0.000566694132022658,0.00919465365451855,0.004183073505134935,0.9976173904761249
CALCE,test_CS2_35,CS2_35,analytic,0.9966007934547626,-0.0005679491401293932,0.009193903180489764,0.004181595463343557,0.9976177794007464
CALCE,test_CS2_35,CS2_35,grid,1.0,-0.000566694132022658,0.00919465365451855,0.004183073505134935,0.9976173904761249
CALCE,test_CS2_36,CS2_36,fixed_zero,0.0,-0.0008491805470139411,0.013179308877658722,0.005348027972150392,0.996851365927366
CALCE,test_CS2_36,CS2_36,fixed_half,0.5,-0.001180891647788415,0.011695023007983456,0.0052685850532691566,0.997520642919572
CALCE,test_CS2_36,CS2_36,fixed_one,1.0,-0.0015126027485628884,0.01118898151349158,0.005342672522362953,0.9977305635260632
CALCE,test_CS2_36,CS2_36,analytic,1.045014010216934,-0.0015424660423215527,0.01119795175764115,0.005352796934460163,0.9977269232377086
CALCE,test_CS2_36,CS2_36,grid,1.1,-0.001578944968717785,0.011221323440581821,0.0053655974945368504,0.9977174248810755
CALCE,test_CS2_37,CS2_37,fixed_zero,0.0,-0.0006874818887029375,0.012123905768694525,0.004828101222161948,0.9958434715321951
CALCE,test_CS2_37,CS2_37,fixed_half,0.5,0.00026759366099524866,0.010674778401793048,0.0046342737256801336,0.9967777191420495
CALCE,test_CS2_37,CS2_37,fixed_one,1.0,0.0012226692106934323,0.009810453355498292,0.004587304508618323,0.9972784030514945
CALCE,test_CS2_37,CS2_37,analytic,1.080130224933215,0.0013757300479444877,0.009738219195214927,0.004585470138775402,0.9973183336256987
CALCE,test_CS2_37,CS2_37,grid,1.2000000000000002,0.0016046994305726897,0.009667247747021114,0.004589025319281577,0.9973572787791579
CALCE,test_CS2_38,CS2_38,fixed_zero,0.0,-0.0008120741566114007,0.012128437512366298,0.004698890714509777,0.9956864731702595
CALCE,test_CS2_38,CS2_38,fixed_half,0.5,-0.00030951597107357106,0.010336769521135733,0.00448692829702003,0.9968667686772373
CALCE,test_CS2_38,CS2_38,fixed_one,1.0,0.0001930422144642602,0.009794344161920565,0.00446336334884832,0.9971869754992276
CALCE,test_CS2_38,CS2_38,analytic,0.8864259485134308,7.888707598572043e-05,0.009789536893706333,0.004442967640823488,0.9971897362036442
CALCE,test_CS2_38,CS2_38,grid,0.7000000000000001,-0.00010849269685843642,0.009947928709546737,0.004451187938738184,0.9970980620482319
