dataset,model,model_family,tuned,split,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,Ours,ARCF-TCN,True,test,0.009143876248426627,0.004837257932590848,0.6142214250091826,0.9898503313904232,5.720257626031525,0.1883840655656354,7320.498435273862,58273.0,0.22229385375976562
CALCE,Ours,ARCF-TCN,True,test,0.010012650697212386,0.004643646585608591,0.7685619633049314,0.9974997953952648,21.534856207901612,0.16705385708705445,7216.280319286593,58273.0,0.22229385375976562
NASA,VMD-TCN,VMD-TCN,True,test,0.08678183277301926,0.07322120375573128,9.58522752318059,0.08578399766124856,0.5523521250579506,0.04800128688809281,20833.06426310274,3457.0,0.013187408447265625
NASA,EMD-TCN,EMD-TCN,True,test,0.08617604971738946,0.07304059550289574,9.578303934532434,0.09850287163796723,0.585455666994676,0.04990817296279412,20042.42753286925,3457.0,0.013187408447265625
NASA,CEEMDAN-TCN,CEEMDAN-TCN,True,test,0.08556518889073726,0.07226212551090251,9.454548672713772,0.11123813848544706,0.6028657918795943,0.05056393194021218,19822.48560800959,3457.0,0.013187408447265625
NASA,Wavelet-TCN,Wavelet-TCN,True,test,0.08723632507287528,0.07365212053692334,9.641687428102568,0.07618309029033832,0.6143212080933154,0.04916392258721693,20399.289947435256,3457.0,0.013187408447265625
CALCE,VMD-TCN,VMD-TCN,True,test,0.015696822384876997,0.009288385301039,1.8305932525307531,0.9938552968391778,3.9239047069568187,0.05007286366574536,19973.2076830906,3457.0,0.013187408447265625
CALCE,EMD-TCN,EMD-TCN,True,test,0.015444293733056417,0.008478611351344664,1.7022584247299042,0.9940514170058395,3.7607957490254194,0.05015960218407063,19937.544549261478,3457.0,0.013187408447265625
CALCE,CEEMDAN-TCN,CEEMDAN-TCN,True,test,0.015519132965141926,0.00872013595413,1.6670760106054936,0.9939936265979344,3.5958843351108953,0.04717223964495755,21203.271523355506,3457.0,0.013187408447265625
CALCE,Wavelet-TCN,Wavelet-TCN,True,test,0.014441803241173657,0.00799959111483482,1.6174361754391104,0.9947985998353623,3.539942041039467,0.04706442787187884,21249.04424819821,3457.0,0.013187408447265625
