dataset,fold_id,model,implementation,n_components,predictor,note
NASA,test_B0005,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,CEEMDAN-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,Wavelet-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
