dataset,model,fold_id,status,train_time_sec,inference_time_sec,inference_ms_per_sample,throughput_samples_sec,inference_repeats,test_samples,param_count,model_size_mb_fp32
NASA,VMD-TCN,test_B0005,ok,0.13050320802722126,0.007299249991774559,0.048021381524832624,20824.057289623874,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0006,ok,0.127590834046714,0.007335165981203318,0.048257670928969196,20722.094140678837,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0007,ok,0.14788162498734891,0.007258625002577901,0.04775411185906514,20940.60513472141,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0018,ok,0.14637645799666643,0.005564750055782497,0.04797198323950429,20845.500487386842,5,116,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0005,ok,0.1323251249268651,0.007755541941151023,0.05102330224441463,19598.888272847278,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0006,ok,0.14868237497285008,0.007662083022296429,0.05040844093616072,19837.947403817554,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0007,ok,0.1531572500243783,0.007473083911463618,0.04916502573331328,20339.66188534748,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0018,ok,0.1512909170705825,0.005688167060725391,0.049035922937287854,20393.21256946468,5,116,3457.0,0.013187408447265625
NASA,CEEMDAN-TCN,test_B0005,ok,0.13286412495654076,0.0075142920250073075,0.04943613174346913,20228.11989394998,5,152,3457.0,0.013187408447265625
NASA,CEEMDAN-TCN,test_B0006,ok,0.1343538339715451,0.007466957904398441,0.0491247230552529,20356.348856669432,5,152,3457.0,0.013187408447265625
NASA,CEEMDAN-TCN,test_B0007,ok,0.15137137495912611,0.007422750000841916,0.04883388158448629,20477.585798088257,5,152,3457.0,0.013187408447265625
NASA,CEEMDAN-TCN,test_B0018,ok,0.18427645799238235,0.006363874999806285,0.05486099137764039,18227.887883330677,5,116,3457.0,0.013187408447265625
NASA,Wavelet-TCN,test_B0005,ok,0.18043675005901605,0.008181957993656397,0.05382867101089735,18577.460324026113,5,152,3457.0,0.013187408447265625
NASA,Wavelet-TCN,test_B0006,ok,0.14279724995139986,0.007133917068131268,0.04693366492191624,21306.667648130715,5,152,3457.0,0.013187408447265625
NASA,Wavelet-TCN,test_B0007,ok,0.14580854203086346,0.007282083039171994,0.04790844104718417,20873.148408547,5,152,3457.0,0.013187408447265625
NASA,Wavelet-TCN,test_B0018,ok,0.145278666052036,0.005566249950788915,0.04798491336886996,20839.883409037193,5,116,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_35,ok,1.018639790941961,0.04396412498317659,0.05076688797133555,19697.878675656244,5,866,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_36,ok,0.9564545000903308,0.045547083020210266,0.04950769893501116,20198.8785888171,5,920,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_37,ok,0.9888185829622671,0.04820945905521512,0.05042830445106184,19830.133312740076,5,956,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_38,ok,0.9599918329622597,0.048596792039461434,0.04958856330557289,20165.940155148986,5,980,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_35,ok,0.9813551659462973,0.0429449169896543,0.049589973429162014,20165.366723345276,5,866,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_36,ok,0.9181975000537932,0.0460192080354318,0.05002087829938239,19991.652166018583,5,920,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_37,ok,0.9017762080766261,0.048281542025506496,0.05050370504760094,19800.52748719082,5,956,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_38,ok,0.9594668749487028,0.04951337492093444,0.05052385196013718,19792.631820491242,5,980,3457.0,0.013187408447265625
CALCE,CEEMDAN-TCN,test_CS2_35,ok,0.9174343340564519,0.04167495795991272,0.04812350803685071,20779.864993097493,5,866,3457.0,0.013187408447265625
CALCE,CEEMDAN-TCN,test_CS2_36,ok,0.882963209063746,0.042766166967339814,0.04648496409493458,21512.33241694531,5,920,3457.0,0.013187408447265625
CALCE,CEEMDAN-TCN,test_CS2_37,ok,0.9010760420933366,0.044528791098855436,0.04657823336700359,21469.255652542808,5,956,3457.0,0.013187408447265625
CALCE,CEEMDAN-TCN,test_CS2_38,ok,0.8944107498973608,0.046552208019420505,0.047502253081041335,21051.633030836405,5,980,3457.0,0.013187408447265625
CALCE,Wavelet-TCN,test_CS2_35,ok,0.9097203750861809,0.040449833031743765,0.04670881412441543,21409.23546755781,5,866,3457.0,0.013187408447265625
CALCE,Wavelet-TCN,test_CS2_36,ok,0.8704279579687864,0.04289562499616295,0.04662567934365538,21447.408682873713,5,920,3457.0,0.013187408447265625
CALCE,Wavelet-TCN,test_CS2_37,ok,0.8648473749635741,0.04547491599805653,0.04756790376365746,21022.57869021367,5,956,3457.0,0.013187408447265625
CALCE,Wavelet-TCN,test_CS2_38,ok,0.8949463330209255,0.046408207970671356,0.047355314255787095,21116.954152147646,5,980,3457.0,0.013187408447265625
