dataset,model,model_family,tuned,split,folds,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,Ours,ARCF-TCN,True,test,4,0.009979902756763043,0.004640707544350652,0.7696781319731854,0.9974631931169494,21.512306585209444,0.16685721883341187,7231.913777589896,58273.0,0.22229385375976562
NASA,Ours,ARCF-TCN,True,test,4,0.00892352601017966,0.004929417437352198,0.6269662694829825,0.9861542635461238,5.795091750100255,0.19105305493143326,7239.782490914863,58273.0,0.22229385375976562
CALCE,EMD-TCN,EMD-TCN,True,test,4,0.01514040141708943,0.008492885911218209,1.7090391391700055,0.9942647329702221,3.5707077502738684,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-XGBoost,EMD-XGBoost,True,test,4,0.03336391905037346,0.0140113024008682,4.085915902869639,0.9655623642929833,0.27941516577266157,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,VMD-TCN,VMD-TCN,True,test,4,0.015432406584770197,0.00931529445875489,1.8408814657354537,0.9940266955685857,3.550596000161022,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-XGBoost,VMD-XGBoost,True,test,4,0.017647903177055696,0.009419949322753576,2.1853199581359197,0.9918653614991111,0.30894079082645476,0.000461284076949764,2168477.027425128,0.0,0.0
NASA,EMD-TCN,EMD-TCN,True,test,4,0.08381729474815015,0.07208085357334086,9.468286026798117,0.012638233962607631,0.5417834990657866,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
NASA,EMD-XGBoost,EMD-XGBoost,True,test,4,0.024266971197810124,0.01579832956178355,2.1350823217829014,0.9165779791872867,0.22365537495352328,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,VMD-TCN,VMD-TCN,True,test,4,0.08401746512949872,0.07222609451844222,9.468319233715787,0.014575366322225669,0.5563884568400681,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-XGBoost,VMD-XGBoost,True,test,4,0.016652798188896863,0.011675587027213916,1.55572300712656,0.9609696615350363,0.2510875007137656,0.0008362070046713451,1201738.8407091931,0.0,0.0
