dataset,fold_id,model,implementation,n_components,predictor,note
NASA,test_B0005,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0005,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0006,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0007,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
NASA,test_B0018,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,VMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,EMD-TCN,numpy_fallback,3,TCN,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,VMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_35,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_36,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_37,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
CALCE,test_CS2_38,EMD-XGBoost,numpy_fallback,3,XGBoost,window-local decomposition; no full-life decomposition before split
