dataset,model,model_family,tuned,split,folds,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,EMD-TCN,EMD-TCN,True,test,4,0.01514040141708943,0.008492885911218209,1.7090391391700055,0.9942647329702221,3.5707077502738684,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-TCN,EMD-TCN,True,validation,4,0.014190646883760451,0.008055309840055435,1.47612879714949,0.9948568217020841,3.5707077502738684,0.04693736307873116,21305.197871858414,3457.0,0.013187408447265625
CALCE,EMD-XGBoost,EMD-XGBoost,True,test,4,0.03336391905037346,0.0140113024008682,4.085915902869639,0.9655623642929833,0.27941516577266157,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,EMD-XGBoost,EMD-XGBoost,True,validation,4,0.034543651627667184,0.013881558611110305,4.020184038358452,0.9662766667694599,0.27941516577266157,0.0004636202623263313,2157167.062918443,0.0,0.0
CALCE,VMD-TCN,VMD-TCN,True,test,4,0.015432406584770197,0.00931529445875489,1.8408814657354537,0.9940266955685857,3.550596000161022,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-TCN,VMD-TCN,True,validation,4,0.014662480476730945,0.009050568646794818,1.667634097592048,0.9945214900063326,3.550596000161022,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-XGBoost,VMD-XGBoost,True,test,4,0.017647903177055696,0.009419949322753576,2.1853199581359197,0.9918653614991111,0.30894079082645476,0.000461284076949764,2168477.027425128,0.0,0.0
CALCE,VMD-XGBoost,VMD-XGBoost,True,validation,4,0.015210469217665813,0.00873748150031883,1.7526949950419641,0.99412737485134,0.30894079082645476,0.000461284076949764,2168477.027425128,0.0,0.0
NASA,EMD-TCN,EMD-TCN,True,test,4,0.08381729474815015,0.07208085357334086,9.468286026798117,0.012638233962607631,0.5417834990657866,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
NASA,EMD-TCN,EMD-TCN,True,validation,4,0.08334164843953039,0.07224767736541682,9.511156261572845,0.03575125239869195,0.5417834990657866,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
NASA,EMD-XGBoost,EMD-XGBoost,True,test,4,0.024266971197810124,0.01579832956178355,2.1350823217829014,0.9165779791872867,0.22365537495352328,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,EMD-XGBoost,EMD-XGBoost,True,validation,4,0.02696100608958978,0.017754997105771855,2.4425721204955395,0.8908334702963815,0.22365537495352328,0.000907961983667237,1104110.7568463057,0.0,0.0
NASA,VMD-TCN,VMD-TCN,True,test,4,0.08401746512949872,0.07222609451844222,9.468319233715787,0.014575366322225669,0.5563884568400681,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-TCN,VMD-TCN,True,validation,4,0.0837843811028254,0.07249756109486123,9.525779817208328,0.025507405336363476,0.5563884568400681,0.04693023691588959,21308.553149007494,3457.0,0.013187408447265625
NASA,VMD-XGBoost,VMD-XGBoost,True,test,4,0.016652798188896863,0.011675587027213916,1.55572300712656,0.9609696615350363,0.2510875007137656,0.0008362070046713451,1201738.8407091931,0.0,0.0
NASA,VMD-XGBoost,VMD-XGBoost,True,validation,4,0.01846093896996143,0.012831393679237895,1.7456068616237148,0.949708290962082,0.2510875007137656,0.0008362070046713451,1201738.8407091931,0.0,0.0
