dataset,model,fold_id,status,train_time_sec,inference_time_sec,inference_ms_per_sample,throughput_samples_sec,inference_repeats,test_samples,param_count,model_size_mb_fp32
NASA,VMD-TCN,test_B0005,ok,0.13385612494312227,0.007141540991142392,0.04698382231014732,21283.921801824654,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0006,ok,0.12986004096455872,0.007111791986972094,0.04678810517744798,21372.95357885113,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0007,ok,0.14548483304679394,0.007104584015905857,0.04674068431517011,21394.637555091183,5,152,3457.0,0.013187408447265625
NASA,VMD-TCN,test_B0018,ok,0.14718745788559318,0.00547616695985198,0.047208335860792934,21182.699660263,5,116,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0005,ok,0.1277903749141842,0.007170374970883131,0.04717351954528376,21198.333506577983,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0006,ok,0.12736383313313127,0.007162999827414751,0.04712499886457073,21220.159662471946,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0007,ok,0.14329200005158782,0.007127624936401844,0.04689226931843318,21325.476769086617,5,152,3457.0,0.013187408447265625
NASA,EMD-TCN,test_B0018,ok,0.1433372909668833,0.005443375091999769,0.0469256473448256,21310.308042245222,5,116,3457.0,0.013187408447265625
NASA,VMD-XGBoost,test_B0005,ok,0.061771374894306064,0.00012204190716147423,0.0008029072839570673,1245473.8174395135,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0006,ok,0.06077604182064533,0.00011912500485777855,0.0007837171372222273,1275970.5670649952,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0007,ok,0.06280050007626414,0.00012458302080631256,0.0008196251368836352,1220069.9502728563,5,152,0.0,0.0
NASA,VMD-XGBoost,test_B0018,ok,0.06573958392255008,0.00010887510143220425,0.0009385784606224504,1065441.0280594078,5,116,0.0,0.0
NASA,EMD-XGBoost,test_B0005,ok,0.05579687491990626,0.00013254093937575817,0.0008719798643141985,1146815.4723807618,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0006,ok,0.054793375078588724,0.00013129203580319881,0.0008637633934420975,1157724.4504597487,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0007,ok,0.052792333997786045,0.00014887494035065174,0.0009794403970437614,1020991.1731416158,5,152,0.0,0.0
NASA,EMD-XGBoost,test_B0018,ok,0.06027279095724225,0.0001063330564647913,0.0009166642798688905,1090911.9314030965,5,116,0.0,0.0
CALCE,VMD-TCN,test_CS2_35,ok,0.9191371249035001,0.04188195802271366,0.048362538132463814,20677.161261905327,5,866,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_36,ok,0.8779456671327353,0.04418658302165568,0.04802889458875617,20820.79982398982,5,920,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_37,ok,0.8716679580975324,0.04468908300623298,0.046745902726185125,21392.249195774784,5,956,3457.0,0.013187408447265625
CALCE,VMD-TCN,test_CS2_38,ok,0.8818452500272542,0.04546483396552503,0.0463926877199235,21555.121057807275,5,980,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_35,ok,0.9259967498946935,0.040799415903165936,0.047112489495572674,21225.794066644972,5,866,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_36,ok,0.8779445830732584,0.042996292002499104,0.04673510000271642,21397.19397073883,5,920,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_37,ok,0.8579366251360625,0.04480387503281236,0.046865978067795355,21337.440105345093,5,956,3457.0,0.013187408447265625
CALCE,EMD-TCN,test_CS2_38,ok,0.908829792169854,0.046095167053863406,0.04703588474884021,21260.363344704758,5,980,3457.0,0.013187408447265625
CALCE,VMD-XGBoost,test_CS2_35,ok,0.07960266689769924,0.0004106250125914812,0.0004741628320917797,2108980.1484196433,5,866,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_36,ok,0.07649125019088387,0.00042399996891617775,0.000460869531430628,2169811.4798255526,5,920,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_37,ok,0.07550170784816146,0.0004342501051723957,0.0004542365116866064,2201496.300433759,5,956,0.0,0.0
CALCE,VMD-XGBoost,test_CS2_38,ok,0.07734516588971019,0.000446750083938241,0.00045586743259004185,2193620.181021557,5,980,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_35,ok,0.0653820838779211,0.0004041669890284538,0.0004667055300559513,2142678.703378797,5,866,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_36,ok,0.08115141605958343,0.00042754202149808407,0.000464719588584874,2151835.2670373074,5,920,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_37,ok,0.06569404085166752,0.00044691702350974083,0.00046748642626541926,2139099.5413249535,5,956,0.0,0.0
CALCE,EMD-XGBoost,test_CS2_38,ok,0.06718762498348951,0.00044645811431109905,0.0004555695043990807,2195054.7399327154,5,980,0.0,0.0
