排名,model,model_family,RMSE,MAE,MAPE,R2,train_time_sec,param_count,rank_score
1,Ours,ARCF-TCN,0.009451714383471352,0.004785062490851425,0.6983222007280838,0.9918087283315367,3.4134247919137124,58273.0,3.0
2,Trend_Prior_l1,baseline,0.01066125209177317,0.005114972554810968,0.7340386711771785,0.9907353520359573,5.031033651903272e-06,0.0,6.0
3,Trend_Prior_l2,baseline,0.012310630596665735,0.007820702698198182,1.1505082674450022,0.985747331801025,3.749446477741003e-07,0.0,9.0
4,XGBoost,XGBoost,0.016160626383963702,0.00957767913431292,1.7145347908976118,0.9795974233296321,0.02057872386649251,0.0,12.0
5,LightGBM,LightGBM,0.01653183296792003,0.009652999895848152,1.740122407758066,0.9782964594181336,0.02725540637038648,0.0,15.0
6,VMD-XGBoost,VMD-XGBoost,0.017150350682976278,0.010547768174983747,1.8705214826312397,0.9764175115170737,0.07000353644252755,0.0,19.0
7,GRU,GRU,0.01713113000180478,0.011576739293887691,1.8736412798357889,0.9724371070492019,0.4321497862401884,21505.0,20.0
8,DNN,DNN,0.019487605372689825,0.013870366417513996,2.1677213506192876,0.9668304385381052,0.026953458524076268,5313.0,24.0
9,Transformer,Transformer,0.022485522886381244,0.016125395493784646,2.568156534704001,0.9580830048445927,0.31964581247302704,12801.0,28.0
10,EMD-XGBoost,EMD-XGBoost,0.02881544512409179,0.014904815981325877,3.11049911232627,0.941070171740135,0.0628838175907731,0.0,31.0
11,LSTM,LSTM,0.02279986406317396,0.016656411112865647,2.5849689451851114,0.9327279054822225,0.4928649220673833,28657.0,32.0
12,CNN1D,1D-CNN,0.0286117110562956,0.020884345112335088,3.3167512747534396,0.919560156283917,0.3323649741068948,12065.0,35.0
13,EMD-TCN,EMD-TCN,0.04947884808261979,0.04028686974227954,5.58866258298406,0.5034514834664149,0.5140614061674569,3457.0,40.0
14,VMD-TCN,VMD-TCN,0.04972493585713446,0.04077069448859856,5.65460034972562,0.5043010309454057,0.5133730571251363,3457.0,41.0
