horizon,model,RMSE,MAE,R2
1,GRU,0.01713113000180478,0.011576739293887691,0.9724371070492019
1,Ours,0.009451714383471352,0.004785062490851425,0.9918087283315367
1,Trend_Prior_l1,0.01066125209177317,0.005114972554810968,0.9907353520359573
1,Trend_Prior_l2,0.012310630596665735,0.007820702698198182,0.985747331801025
1,VMD-XGBoost,0.017150350682976278,0.010547768174983747,0.9764175115170737
1,XGBoost,0.016160626383963702,0.00957767913431292,0.9795974233296321
3,GRU,0.01990037895802732,0.013633169850190904,0.9569860534617137
3,Ours,0.011582235751278836,0.006778354180301659,0.9869367483893263
3,Trend_Prior_l1,0.013201678471792223,0.00792243893666393,0.9841718910470281
3,Trend_Prior_l2,0.014022407389594493,0.00916680099338301,0.9806412330700491
3,VMD-XGBoost,0.018927221747548646,0.011960500430604619,0.9701977726227778
3,XGBoost,0.01892400723410187,0.011709325878010986,0.9707431168580638
5,GRU,0.02066287545876873,0.014454430046573905,0.9523471047797443
5,Ours,0.012752907919291387,0.007981374123084039,0.9836823789601726
5,Trend_Prior_l1,0.014873731950831469,0.009653602200118287,0.9787628913057205
5,Trend_Prior_l2,0.015438276207194993,0.010318100844592396,0.9756816621798092
5,VMD-XGBoost,0.019625526794511156,0.012503948324310612,0.9678384216922985
5,XGBoost,0.02004935185226317,0.012610815767546626,0.9669876714347871
10,GRU,0.02302437525659137,0.01660458875569678,0.9388461310384744
10,Ours,0.014936558881565252,0.009856461470225605,0.9766088695891871
10,Trend_Prior_l1,0.018613960580446884,0.0128765971404781,0.9627242152308133
10,Trend_Prior_l2,0.018961511237653834,0.013103661829047788,0.9607432756763117
10,VMD-XGBoost,0.021315089865292746,0.013886404513489665,0.9613822277033831
10,XGBoost,0.021926158121035055,0.014253914614547045,0.9585664555538163
