dataset,test_cell,cycle,soh_level,prior_Trend_Prior_l1,prior_Trend_Prior_l2,w_Trend_Prior_l1,w_Trend_Prior_l2,soh_true
CALCE,CS2_35,16.0,0.9949499,0.9949499,0.9844792954623699,0.6103146375288881,0.38968536247111196,0.9945856461098688
CALCE,CS2_35,17.0,0.99458563,0.99458563,0.9851178221404553,0.6138580418593361,0.38614195814066377,0.9940558377368488
CALCE,CS2_35,18.0,0.99405587,0.99405587,0.986328125745058,0.6175737120432366,0.38242628795676337,0.9933938358247986
CALCE,CS2_35,19.0,0.99339384,0.99339384,0.9880898520350456,0.6487165650927375,0.35128343490726266,0.9898669806658424
CALCE,CS2_35,20.0,0.989867,0.989867,0.9887080118060112,0.6430797677373343,0.35692023226266567,0.989437648588973
CALCE,CS2_35,21.0,0.98943764,0.98943764,0.9897158510982991,0.6581218857233174,0.34187811427668263,0.9890863295012022
CALCE,CS2_35,22.0,0.98908633,0.98908633,0.9908196941018105,0.714412389055623,0.2855876109443771,0.988753653496143
CALCE,CS2_35,23.0,0.9887537,0.9887537,0.9903891757130623,0.7221007473880808,0.27789925261191906,0.9883941356516056
CALCE,CS2_35,24.0,0.98839414,0.98839414,0.9897633984684944,0.7410858740354769,0.25891412596452307,0.987999773070958
CALCE,CS2_35,25.0,0.9879998,0.9879998,0.988382039964199,0.7452178224280102,0.2547821775719899,0.9876342618995688
CALCE,CS2_35,26.0,0.98763424,0.98763424,0.9866668954491615,0.7213038786570226,0.2786961213429774,0.978600763515592
CALCE,CS2_35,27.0,0.97860074,0.97860074,0.9836974836885929,0.6804879163613612,0.31951208363863876,0.971164838151943
CALCE,CS2_35,28.0,0.9711648,0.9711648,0.9793965220451355,0.6470670383281802,0.35293296167181976,0.9653373000370428
CALCE,CS2_35,29.0,0.9653373,0.9653373,0.9742404751479625,0.6188636408505472,0.38113635914945276,0.964045412920911
CALCE,CS2_35,30.0,0.9640454,0.9640454,0.969495564699173,0.6107509948707871,0.3892490051292129,0.9627912286830088
CALCE,CS2_35,31.0,0.9627912,0.9627912,0.9651702098548413,0.6033016916007559,0.39669830839924414,0.9713014832056328
CALCE,CS2_35,32.0,0.9713015,0.9713015,0.9637356363236904,0.6378035622219757,0.36219643777802424,0.9725132511281882
CALCE,CS2_35,33.0,0.97251326,0.97251326,0.9631406024098397,0.6460130259964847,0.35398697400351536,0.9647697600817996
CALCE,CS2_35,34.0,0.9647698,0.9647698,0.9610819913446903,0.6165069016112359,0.3834930983887641,0.9570943989358875
CALCE,CS2_35,35.0,0.9570944,0.9570944,0.9577373795211315,0.5972202482781109,0.40277975172188907,0.9559063490142868
CALCE,CS2_35,36.0,0.95590633,0.95590633,0.9544742479920387,0.5923111790398045,0.40768882096019554,0.9552623067175052
CALCE,CS2_35,37.0,0.9552623,0.9552623,0.9518347330391407,0.5904004479739717,0.4095995520260284,0.9543373113012628
CALCE,CS2_35,38.0,0.9543373,0.9543373,0.9497655682265759,0.588256617316821,0.411743382683179,0.962877750692809
CALCE,CS2_35,39.0,0.96287775,0.96287775,0.9506503961980343,0.6279194495541555,0.37208055044584454,0.9640511612771328
CALCE,CS2_35,40.0,0.9640512,0.9640512,0.95242158472538,0.6395733934072737,0.36042660659272635,0.9614837574523062
CALCE,CS2_35,41.0,0.9614838,0.9614838,0.9541003204882145,0.6361744831918669,0.3638255168081332,0.9529760939997434
CALCE,CS2_35,42.0,0.9529761,0.9529761,0.9542601838707924,0.6422890936414338,0.35771090635856606,0.9485389132421236
CALCE,CS2_35,43.0,0.9485389,0.9485389,0.9528221994638443,0.655372116425422,0.3446278835745779,0.9481061488464164
CALCE,CS2_35,44.0,0.94810617,0.94810617,0.9509121686220169,0.6759241682413107,0.3240758317586892,0.9472884142649024
CALCE,CS2_35,45.0,0.9472884,0.9472884,0.9485000804066658,0.6758612056784892,0.32413879432151077,0.9542949184497704
CALCE,CS2_35,46.0,0.9542949,0.9542949,0.9480970352888107,0.706191455127582,0.2938085448724181,0.9562783847743868
CALCE,CS2_35,47.0,0.9562784,0.9562784,0.9482454918324947,0.6838214390714467,0.3161785609285533,0.9602969666453108
CALCE,CS2_35,48.0,0.960297,0.960297,0.9508378967642784,0.6988899578238164,0.30111004217618365,0.9467883771121728
CALCE,CS2_35,49.0,0.9467884,0.9467884,0.9505100503563881,0.6781440550474197,0.32185594495258035,0.9463662580645414
CALCE,CS2_35,50.0,0.94636625,0.94636625,0.9495583340525627,0.7059437045582827,0.2940562954417173,0.9458955572767622
CALCE,CS2_35,51.0,0.94589555,0.94589555,0.9477977387607097,0.7070606184233511,0.29293938157664884,0.944738312799524
CALCE,CS2_35,52.0,0.9447383,0.9447383,0.9458495236933231,0.7034449521236693,0.2965550478763307,0.9881802188508706
CALCE,CS2_35,53.0,0.9881802,0.9881802,0.9549444109201431,0.8357944883288397,0.1642055116711603,0.982370354631276
CALCE,CS2_35,54.0,0.9823704,0.9823704,0.9616251461207866,0.803842474374777,0.19615752562522304,0.9879540050339272
CALCE,CS2_35,55.0,0.987954,0.987954,0.9702819995582104,0.8228155300239212,0.17718446997607873,0.987780822939788
CALCE,CS2_35,56.0,0.9877808,0.9877808,0.9784447222948074,0.8352742539147934,0.16472574608520665,0.9794743509010124
CALCE,CS2_35,57.0,0.97947437,0.97947437,0.9835524708032608,0.839507408564443,0.16049259143555705,0.9728802353881166
CALCE,CS2_35,58.0,0.97288024,0.97288024,0.985285684466362,0.8347197565745578,0.16528024342544223,0.9715672863736544
CALCE,CS2_35,59.0,0.9715673,0.9715673,0.9855275899171829,0.8313653469211041,0.16863465307889597,0.9636125072995388
CALCE,CS2_35,60.0,0.9636125,0.9636125,0.9831400893628597,0.8093390204213438,0.1906609795786562,0.9644565342495192
CALCE,CS2_35,61.0,0.96445656,0.96445656,0.9804533056914806,0.787963598768793,0.212036401231207,0.9633437998098348
CALCE,CS2_35,62.0,0.9633438,0.9633438,0.9781101480126381,0.7752838144787697,0.22471618552123032,0.955615466335508
CALCE,CS2_35,63.0,0.95561546,0.95561546,0.9739061176776886,0.7318197773267133,0.26818022267328673,0.954649442536697
CALCE,CS2_35,64.0,0.95464945,0.95464945,0.970079992711544,0.7690307518030143,0.23096924819698578,0.9494051395972644
CALCE,CS2_35,65.0,0.94940513,0.94940513,0.9630576997995377,0.7442833098251228,0.2557166901748773,0.9487088033385284
CALCE,CS2_35,66.0,0.94870883,0.94870883,0.9557326242327691,0.7335354644394619,0.266464535560538,0.9467580635913126
CALCE,CS2_35,67.0,0.9467581,0.9467581,0.947790690511465,0.7197830010640722,0.2802169989359277,0.9475694891661758
CALCE,CS2_35,68.0,0.9475695,0.9475695,0.9398563846945762,0.5528609013619994,0.44713909863800055,0.9472325302160838
CALCE,CS2_35,69.0,0.94723254,0.94723254,0.9382833734154701,0.5782739580145568,0.4217260419854433,0.940583602315628
CALCE,CS2_35,70.0,0.9405836,0.9405836,0.9352003306150436,0.5260145855438122,0.47398541445618775,0.9394940573722188
CALCE,CS2_35,71.0,0.9394941,0.9394941,0.9337272040545941,0.5250347419038275,0.47496525809617246,0.9390158634372348
CALCE,CS2_35,72.0,0.93901587,0.93901587,0.9333199121057987,0.5641170112549931,0.4358829887450068,0.9385702129406552
CALCE,CS2_35,73.0,0.9385702,0.9385702,0.9327745027840137,0.594106404824538,0.4058935951754619,0.932449535647583
CALCE,CS2_35,74.0,0.9324495,0.9324495,0.9307322636246681,0.5744945801150474,0.42550541988495255,0.938257572682664
CALCE,CS2_35,75.0,0.9382576,0.9382576,0.9309559836983681,0.6350918886248119,0.3649081113751881,0.9381008164881046
CALCE,CS2_35,76.0,0.9381008,0.9381008,0.930779991298914,0.6335069711170633,0.36649302888293656,0.9376222591495104
CALCE,CS2_35,77.0,0.93762225,0.93762225,0.9312487512826919,0.6395947927128394,0.3604052072871606,0.9366945508040028
CALCE,CS2_35,78.0,0.93669456,0.93669456,0.9319895297288895,0.6710211139510543,0.3289788860489456,0.9321612310691918
CALCE,CS2_35,79.0,0.9321612,0.9321612,0.9311039395630359,0.6579629213837717,0.34203707861622845,0.932106294266896
CALCE,CS2_35,80.0,0.9321063,0.9321063,0.9306461766362191,0.679836608803306,0.320163391196694,0.9315696941751246
CALCE,CS2_35,81.0,0.9315697,0.9315697,0.9298311077058315,0.6809618753151016,0.31903812468489845,0.930617201808561
CALCE,CS2_35,82.0,0.9306172,0.9306172,0.9291193366050721,0.6854475640247857,0.3145524359752142,0.930072772142574
CALCE,CS2_35,83.0,0.9300728,0.9300728,0.9284311600029469,0.6809996127089052,0.31900038729109487,0.929677043489588
