dataset,fold_id,seed,phase,arima_weight,validation_mse
NASA,test_B0005,42,fusion_weight,0.0,0.0002578839286063194
NASA,test_B0005,42,fusion_weight,0.05,0.00024706701412661975
NASA,test_B0005,42,fusion_weight,0.1,0.00023672927642646243
NASA,test_B0005,42,fusion_weight,0.15000000000000002,0.0002268707155058464
NASA,test_B0005,42,fusion_weight,0.2,0.00021749133136477237
NASA,test_B0005,42,fusion_weight,0.25,0.00020859112400323945
NASA,test_B0005,42,fusion_weight,0.30000000000000004,0.00020017009342124847
NASA,test_B0005,42,fusion_weight,0.35000000000000003,0.0001922282396187992
NASA,test_B0005,42,fusion_weight,0.4,0.00018476556259589217
NASA,test_B0005,42,fusion_weight,0.45,0.00017778206235252673
NASA,test_B0005,42,fusion_weight,0.5,0.00017127773888870235
NASA,test_B0005,42,fusion_weight,0.55,0.00016525259220442006
NASA,test_B0005,42,fusion_weight,0.6000000000000001,0.00015970662229967953
NASA,test_B0005,42,fusion_weight,0.65,0.00015463982917448069
NASA,test_B0005,42,fusion_weight,0.7000000000000001,0.00015005221282882349
NASA,test_B0005,42,fusion_weight,0.75,0.0001459437732627081
NASA,test_B0005,42,fusion_weight,0.8,0.00014231451047613428
NASA,test_B0005,42,fusion_weight,0.8500000000000001,0.00013916442446910228
NASA,test_B0005,42,fusion_weight,0.9,0.00013649351524161203
NASA,test_B0005,42,fusion_weight,0.9500000000000001,0.0001343017827936634
NASA,test_B0005,42,fusion_weight,1.0,0.00013258922712525641
NASA,test_B0006,42,fusion_weight,0.0,8.611820544554029e-05
NASA,test_B0006,42,fusion_weight,0.05,8.11627264469872e-05
NASA,test_B0006,42,fusion_weight,0.1,7.646469643887317e-05
NASA,test_B0006,42,fusion_weight,0.15000000000000002,7.202411542120006e-05
NASA,test_B0006,42,fusion_weight,0.2,6.784098339396634e-05
NASA,test_B0006,42,fusion_weight,0.25,6.391530035717376e-05
NASA,test_B0006,42,fusion_weight,0.30000000000000004,6.0247066310820754e-05
NASA,test_B0006,42,fusion_weight,0.35000000000000003,5.683628125490835e-05
NASA,test_B0006,42,fusion_weight,0.4,5.3682945189435195e-05
NASA,test_B0006,42,fusion_weight,0.45,5.0787058114402085e-05
NASA,test_B0006,42,fusion_weight,0.5,4.814862002980989e-05
NASA,test_B0006,42,fusion_weight,0.55,4.576763093565739e-05
NASA,test_B0006,42,fusion_weight,0.6000000000000001,4.364409083194492e-05
NASA,test_B0006,42,fusion_weight,0.65,4.177799971867271e-05
NASA,test_B0006,42,fusion_weight,0.7000000000000001,4.016935759584047e-05
NASA,test_B0006,42,fusion_weight,0.75,3.8818164463448373e-05
NASA,test_B0006,42,fusion_weight,0.8,3.772442032149646e-05
NASA,test_B0006,42,fusion_weight,0.8500000000000001,3.688812516998464e-05
NASA,test_B0006,42,fusion_weight,0.9,3.630927900891278e-05
NASA,test_B0006,42,fusion_weight,0.9500000000000001,3.5987881838281216e-05
NASA,test_B0006,42,fusion_weight,1.0,3.592393365808958e-05
NASA,test_B0007,42,fusion_weight,0.0,0.0001535544437415795
NASA,test_B0007,42,fusion_weight,0.05,0.00015052492568223475
NASA,test_B0007,42,fusion_weight,0.1,0.00014769399060554235
NASA,test_B0007,42,fusion_weight,0.15000000000000002,0.00014506163851150326
NASA,test_B0007,42,fusion_weight,0.2,0.0001426278694001166
NASA,test_B0007,42,fusion_weight,0.25,0.0001403926832713836
NASA,test_B0007,42,fusion_weight,0.30000000000000004,0.00013835608012530305
NASA,test_B0007,42,fusion_weight,0.35000000000000003,0.0001365180599618756
NASA,test_B0007,42,fusion_weight,0.4,0.00013487862278110057
NASA,test_B0007,42,fusion_weight,0.45,0.0001334377685829786
NASA,test_B0007,42,fusion_weight,0.5,0.00013219549736750974
NASA,test_B0007,42,fusion_weight,0.55,0.0001311518091346936
NASA,test_B0007,42,fusion_weight,0.6000000000000001,0.0001303067038845303
NASA,test_B0007,42,fusion_weight,0.65,0.00012966018161701977
NASA,test_B0007,42,fusion_weight,0.7000000000000001,0.0001292122423321623
NASA,test_B0007,42,fusion_weight,0.75,0.0001289628860299577
NASA,test_B0007,42,fusion_weight,0.8,0.00012891211271040602
NASA,test_B0007,42,fusion_weight,0.8500000000000001,0.00012905992237350727
NASA,test_B0007,42,fusion_weight,0.9,0.0001294063150192612
NASA,test_B0007,42,fusion_weight,0.9500000000000001,0.0001299512906476681
NASA,test_B0007,42,fusion_weight,1.0,0.00013069484925872784
NASA,test_B0018,42,fusion_weight,0.0,7.769593362344894e-05
NASA,test_B0018,42,fusion_weight,0.05,7.421169669537852e-05
NASA,test_B0018,42,fusion_weight,0.1,7.090174100346523e-05
NASA,test_B0018,42,fusion_weight,0.15000000000000002,6.776606654770986e-05
NASA,test_B0018,42,fusion_weight,0.2,6.480467332811178e-05
NASA,test_B0018,42,fusion_weight,0.25,6.201756134467163e-05
