dataset,fold_id,seed,epoch,train_loss,validation_loss,channels,kernel_size,batch_size,learning_rate,dropout,weight_decay
NASA,test_B0005,42,1,0.6406868795553843,0.12952770292758942,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,2,0.1047304016020563,0.057372745126485825,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,3,0.04691990278661251,0.10665736347436905,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,4,0.04928428141607179,0.0644911676645279,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,5,0.0332990028998918,0.04107431322336197,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,6,0.03388554375204775,0.046315997838974,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0006,42,1,0.2601258985698223,0.011379020288586617,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,2,0.06420211642980575,0.02013256587088108,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,3,0.027135898359119892,0.0457494892179966,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,4,0.023909705318510534,0.010115280747413635,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,5,0.019525670818984507,0.009107589721679688,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,6,0.015434922836720943,0.013424103148281574,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0007,42,1,0.5534879356622696,0.022569958120584488,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,2,0.08505694568157196,0.015223363414406776,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,3,0.04629261288791895,0.019624890759587288,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,4,0.03743631821125746,0.013761586509644985,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,5,0.022716534975916147,0.014631273224949837,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,6,0.02587082851678133,0.014978655613958836,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0018,42,1,0.24114336241036655,0.01651139371097088,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,2,0.03657164089381695,0.008982639759778976,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,3,0.021915133483707903,0.015525607392191887,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,4,0.01836297195404768,0.007710353471338749,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,5,0.017280949838459493,0.008103237487375736,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,6,0.013111541420221329,0.007955324836075306,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,1,0.04227922919146236,0.004282939247786999,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,2,0.005864024278707802,0.004932839423418045,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,3,0.005058467147811767,0.00412214919924736,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,4,0.005515471923225108,0.009311456233263016,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,5,0.007018772381988745,0.004235437605530024,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,6,0.004433620860049081,0.004522464703768492,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,1,0.046375451593435014,0.005720961838960648,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,2,0.005865080876211668,0.004399214871227741,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,3,0.005029884448018053,0.003797660581767559,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,4,0.0047504160119670215,0.003543866565451026,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,5,0.004544891898745093,0.003431039396673441,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,6,0.005067243911165358,0.0035638671834021807,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,1,0.04701821497708027,0.004234834108501673,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,2,0.005028727609897032,0.0028984600212424994,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,3,0.004339684283227793,0.002849376993253827,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,4,0.004616393649484962,0.004307189024984837,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,5,0.004696891846833751,0.0036026565358042717,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,6,0.003984828388118851,0.00271595292724669,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,1,0.040308918827213346,0.004362171981483698,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,2,0.004398055914013336,0.002909604925662279,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,3,0.004317975886321316,0.003051663748919964,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,4,0.003915046132169664,0.002830878598615527,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,5,0.0037722639041021465,0.002767067402601242,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,6,0.003680298066077133,0.0027767429128289223,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
