dataset,fold_id,seed,phase,candidate_id,validation_mse,channels,kernel_size,batch_size,learning_rate,dropout,weight_decay
NASA,test_B0005,42,candidate,0,0.00035980539981413676,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
NASA,test_B0005,42,candidate,1,0.0004443298386423879,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0005,42,candidate,2,0.00031944702442695644,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0005,42,candidate,3,0.0008537210110674857,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
NASA,test_B0005,42,candidate,4,0.0006128831294072221,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
NASA,test_B0006,42,candidate,0,0.00021958801139087536,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
NASA,test_B0006,42,candidate,1,0.00012915428355246363,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0006,42,candidate,2,0.00021993425938863145,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0006,42,candidate,3,0.00040629869500617596,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
NASA,test_B0006,42,candidate,4,0.00041203261664284887,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
NASA,test_B0007,42,candidate,0,0.000305803164711437,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
NASA,test_B0007,42,candidate,1,0.00021879038197169528,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0007,42,candidate,2,0.00015606307575521047,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0007,42,candidate,3,0.0008504005199864242,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
NASA,test_B0007,42,candidate,4,0.00044342504976333874,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
NASA,test_B0018,42,candidate,0,0.00010619751107107439,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
NASA,test_B0018,42,candidate,1,8.772923509469863e-05,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
NASA,test_B0018,42,candidate,2,0.00018011795142124199,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
NASA,test_B0018,42,candidate,3,0.0007227498536858907,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
NASA,test_B0018,42,candidate,4,0.0003022754989656847,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
CALCE,test_CS2_35,42,candidate,0,0.0002538414046976604,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
CALCE,test_CS2_35,42,candidate,1,0.0002424261922379055,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_35,42,candidate,2,0.0003434784157069587,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
CALCE,test_CS2_35,42,candidate,3,0.0020651086851702014,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
CALCE,test_CS2_35,42,candidate,4,0.0008195362558006016,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
CALCE,test_CS2_36,42,candidate,0,0.00030751204163618313,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
CALCE,test_CS2_36,42,candidate,1,0.00020205712638967459,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_36,42,candidate,2,0.0005913203097789774,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
CALCE,test_CS2_36,42,candidate,3,0.0010760295668113943,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
CALCE,test_CS2_36,42,candidate,4,0.000569459306039902,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
CALCE,test_CS2_37,42,candidate,0,0.0002266177824579406,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
CALCE,test_CS2_37,42,candidate,1,0.00016249856536118147,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_37,42,candidate,2,0.00047917647538819896,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
CALCE,test_CS2_37,42,candidate,3,0.0013308023802662194,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
CALCE,test_CS2_37,42,candidate,4,0.00038950666830798943,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
CALCE,test_CS2_38,42,candidate,0,0.00016570955727803914,16,3,32,0.002499896118077216,0.10971960993801308,0.0004292989599556912
CALCE,test_CS2_38,42,candidate,1,0.00014643968546037867,24,5,64,0.00213184727453772,0.023544336971912383,0.00048781117581837797
CALCE,test_CS2_38,42,candidate,2,0.00043034095198953286,32,2,32,0.002434151740813696,0.19651607631923845,6.405681633777294e-05
CALCE,test_CS2_38,42,candidate,3,0.0011029348878005124,48,5,64,0.0010810206429136633,0.23169124721215045,0.0003219325600403323
CALCE,test_CS2_38,42,candidate,4,0.0005514733731797956,24,3,32,0.0012572247654634103,0.05680968044619422,0.0002772923935079174
